BD,Country,lus,Update,Daily request,Publisher name,Seller id,Category,Detailed Category,App bundle,App Name,Integration,Play Store/App Store Link,FullAppAdsURL,Ad format,Top GEOs,Domain,TradPlus direct adstxt,是否添加,配置ttd白名单,Media Kit,,,,,,,,,,
Bella,Slovenia,Overseas,,685856,Outfit7,621,Games,模拟游戏,com.outfit7.talkingben,Talking Ben the Dog,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.talkingben&hl=en&gl=US,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,318560,Outfit7,621,Games,模拟游戏,com.outfit7.talkinggingerfree,Talking Ginger,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.talkinggingerfree&hl=en&gl=US,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,268227,Outfit7,621,Games,模拟游戏,com.outfit7.talkingangelafree,Talking Angela,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.talkingangelafree,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,444855,Outfit7,621,Games,模拟游戏,com.outfit7.gingersbirthdayfree,Talking Ginger 2,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.gingersbirthdayfree,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,347171,Outfit7,621,Games,模拟游戏,com.outfit7.talkingtom2free,Talking Tom Cat 2,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.talkingtom2free&hl=en&gl=US,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,3881324,Outfit7,621,Games,模拟游戏,com.outfit7.mytalkingangelafree,My Talking Angela,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingangelafree&hl=en&gl=US,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,800157,Outfit7,621,Games,模拟游戏,com.outfit7.talkingtom,Talking Tom Cat,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.talkingtom&hl=en&gl=US,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,1302413,Outfit7,621,Games,模拟游戏,com.outfit7.mytalkingtomfree,My Talking Tom,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfree&hl=en&gl=US,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,1775562,Outfit7,621,Games,模拟游戏,com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.talkingtomgoldrun&hl=en&gl=US,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
Bella,Slovenia,Overseas,,2066707,Outfit7,621,Games,模拟游戏,com.outfit7.herodash,Talking Tom Hero Dash,Prebid,https://play.google.com/store/apps/details?id=com.outfit7.herodash&hl=en&gl=US,https://outfit7.com/app-ads.txt ,Display & Video,"ID, IN, VN, US, TH, MY, KR, JP, CA,RU",,,,,,,,,,,,,,,
